,auc,objective,metric,learning_rate,num_leaves,min_child_weight,feature_fraction,bagging_fraction,bagging_freq,max_depth,max_bin,lambda_l1,lambda_l2,min_data_in_bin,min_gain_to_split,min_data_in_leaf,is_unbalance
136,0.896347113,binary,auc,0.05,20,60,0.3,0.5,5,-1,50,0,1.33,30,0.001,30,TRUE
137,0.896328137,binary,auc,0.05,20,60,0.7,0.5,1,-1,50,0,3,30,0.1,30,TRUE
138,0.896296995,binary,auc,0.05,20,5,0.7,0.7,1,-1,50,5,0,30,0.1,30,TRUE
139,0.896294544,binary,auc,0.05,20,60,0.3,0.5,5,-1,50,5,0,30,0.001,30,TRUE
140,0.896268389,binary,auc,0.05,20,5,0.7,0.7,1,-1,50,5,3,30,0.001,30,TRUE
141,0.896210007,binary,auc,0.05,20,60,0.3,0.5,5,-1,50,5,0,30,0.1,30,TRUE
142,0.89620966,binary,auc,0.05,20,1,0.7,0.5,5,-1,50,5,1.33,30,0.1,30,TRUE
143,0.896175114,binary,auc,0.05,20,1,0.7,0.5,5,-1,50,5,1.33,30,0.001,30,TRUE
144,0.896013014,binary,auc,0.05,20,5,0.3,0.7,5,-1,50,5,3,30,0.001,30,TRUE
145,0.895994671,binary,auc,0.05,20,5,0.3,0.7,5,-1,50,0,3,30,0.001,30,TRUE
146,0.895955863,binary,auc,0.05,20,5,0.3,0.7,5,-1,50,0,3,30,0.1,30,TRUE
147,0.895955341,binary,auc,0.05,20,5,0.7,0.5,5,-1,50,5,1.33,30,0.001,30,TRUE
148,0.895942661,binary,auc,0.05,20,60,0.3,0.5,5,-1,50,0,1.33,30,0.1,30,TRUE
149,0.895897064,binary,auc,0.05,20,5,0.7,0.5,5,-1,50,5,1.33,30,0.1,30,TRUE
150,0.895880548,binary,auc,0.05,20,5,0.7,0.5,1,-1,50,5,1.33,30,0.1,30,TRUE
151,0.895793347,binary,auc,0.05,20,5,0.7,0.7,1,-1,50,0,0,30,0.1,30,TRUE
152,0.89576525,binary,auc,0.05,20,1,0.7,0.5,1,-1,50,5,1.33,30,0.1,30,TRUE
153,0.895697735,binary,auc,0.05,20,1,0.3,0.7,5,-1,50,5,3,30,0.001,30,TRUE
154,0.895690032,binary,auc,0.05,20,1,0.7,0.5,5,-1,50,5,3,30,0.1,30,TRUE
155,0.895630844,binary,auc,0.05,20,60,0.7,0.5,5,-1,50,5,0,30,0.1,30,TRUE
156,0.895621113,binary,auc,0.05,20,1,0.3,0.7,5,-1,50,5,3,30,0.1,30,TRUE
157,0.895561179,binary,auc,0.05,20,5,0.7,0.5,1,-1,50,5,1.33,30,0.001,30,TRUE
158,0.895532365,binary,auc,0.05,20,5,0.3,0.7,1,-1,50,0,3,30,0.1,30,TRUE
159,0.895477116,binary,auc,0.05,20,5,0.3,0.7,1,-1,50,0,3,30,0.001,30,TRUE
160,0.895468353,binary,auc,0.05,20,5,0.7,0.5,5,-1,50,5,3,30,0.1,30,TRUE
161,0.895422199,binary,auc,0.05,20,5,0.3,0.7,1,-1,50,5,3,30,0.1,30,TRUE
162,0.895378588,binary,auc,0.05,20,1,0.7,0.5,1,-1,50,5,1.33,30,0.001,30,TRUE
163,0.89537093,binary,auc,0.05,20,5,0.7,0.5,5,-1,50,0,3,30,0.1,30,TRUE
164,0.895351963,binary,auc,0.05,20,1,0.7,0.5,1,-1,50,5,3,30,0.001,30,TRUE
165,0.895284057,binary,auc,0.05,20,5,0.7,0.5,5,-1,50,5,3,30,0.001,30,TRUE
166,0.895279493,binary,auc,0.05,20,1,0.7,0.7,1,-1,50,5,0,30,0.001,30,TRUE
167,0.895196035,binary,auc,0.05,20,1,0.7,0.7,1,-1,50,5,0,30,0.1,30,TRUE
168,0.895155325,binary,auc,0.05,20,5,0.3,0.7,1,-1,50,5,3,30,0.001,30,TRUE
169,0.895130825,binary,auc,0.05,20,60,0.7,0.5,5,-1,50,5,0,30,0.001,30,TRUE
170,0.895120301,binary,auc,0.05,20,5,0.7,0.5,5,-1,50,0,3,30,0.001,30,TRUE
171,0.895096428,binary,auc,0.05,20,1,0.7,0.5,5,-1,50,0,1.33,30,0.1,30,TRUE
172,0.895066779,binary,auc,0.05,20,1,0.3,0.7,5,-1,50,0,3,30,0.1,30,TRUE
173,0.895023005,binary,auc,0.05,20,5,0.7,0.7,5,-1,50,0,0,30,0.1,30,TRUE
174,0.895019619,binary,auc,0.05,20,5,0.7,0.7,1,-1,50,0,0,30,0.001,30,TRUE
175,0.894989016,binary,auc,0.05,20,1,0.7,0.5,1,-1,50,5,3,30,0.1,30,TRUE
176,0.894986411,binary,auc,0.05,20,1,0.7,0.7,1,-1,50,0,0,30,0.001,30,TRUE
177,0.894962043,binary,auc,0.05,20,5,0.7,0.7,5,-1,50,0,0,30,0.001,30,TRUE
178,0.894957673,binary,auc,0.05,20,5,0.3,0.7,1,-1,50,5,1.33,30,0.001,30,TRUE
179,0.894930535,binary,auc,0.05,20,1,0.3,0.7,1,-1,50,0,1.33,30,0.001,30,TRUE
180,0.8949171,binary,auc,0.05,20,1,0.7,0.5,1,-1,50,0,3,30,0.1,30,TRUE
181,0.894908041,binary,auc,0.05,20,1,0.3,0.7,1,-1,50,5,1.33,30,0.001,30,TRUE
182,0.894869641,binary,auc,0.05,20,5,0.3,0.7,1,-1,50,5,1.33,30,0.1,30,TRUE
183,0.89486568,binary,auc,0.05,20,5,0.3,0.7,5,-1,50,5,1.33,30,0.1,30,TRUE
184,0.894810968,binary,auc,0.05,20,1,0.3,0.7,5,-1,50,0,3,30,0.001,30,TRUE
185,0.894806021,binary,auc,0.05,20,1,0.7,0.7,1,-1,50,0,0,30,0.1,30,TRUE
186,0.894766625,binary,auc,0.05,20,1,0.3,0.7,1,-1,50,0,1.33,30,0.1,30,TRUE
187,0.894764872,binary,auc,0.05,20,1,0.7,0.5,5,-1,50,0,1.33,30,0.001,30,TRUE
188,0.894753637,binary,auc,0.05,20,1,0.3,0.7,1,-1,50,0,3,30,0.001,30,TRUE
189,0.894733431,binary,auc,0.05,20,1,0.3,0.7,1,-1,50,0,3,30,0.1,30,TRUE
190,0.894711741,binary,auc,0.05,20,5,0.3,0.5,5,-1,50,0,1.33,30,0.1,30,TRUE
191,0.894701659,binary,auc,0.05,20,1,0.7,0.7,5,-1,50,0,0,30,0.001,30,TRUE
192,0.894647981,binary,auc,0.05,20,1,0.7,0.5,1,-1,50,0,3,30,0.001,30,TRUE
193,0.89461555,binary,auc,0.05,20,1,0.7,0.5,5,-1,50,0,3,30,0.1,30,TRUE
194,0.894594722,binary,auc,0.05,20,1,0.7,0.7,5,-1,50,0,0,30,0.1,30,TRUE
